schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,An adaptive kernel estimator for the intensity function of spatio-temporal point processes,[],https://arxiv.org/abs/2208.12026v1,https://github.com/jagm03/kernstadapt,6,
1.0,RESEARCH_PAPER,An Active Learning Reliability Method for Systems with Partially Defined Performance Functions,[],https://arxiv.org/abs/2210.02168v2,https://github.com/fiveai/hgp_experiments,8,
1.0,RESEARCH_PAPER,3D VSG: Long-term Semantic Scene Change Prediction through 3D Variable Scene Graphs,[],https://arxiv.org/abs/2209.07896v2,https://github.com/ethz-asl/3d_vsg,101,
1.0,RESEARCH_PAPER,D&D: Learning Human Dynamics from Dynamic Camera,[],https://arxiv.org/abs/2209.08790v1,https://github.com/jeff-sjtu/dnd,117,
1.0,RESEARCH_PAPER,Cerberus: Low-Drift Visual-Inertial-Leg Odometry For Agile Locomotion,[],https://arxiv.org/abs/2209.07654v1,https://github.com/shuoyangrobotics/cerberus,381,
1.0,RESEARCH_PAPER,MonaCoBERT: Monotonic attention based ConvBERT for Knowledge Tracing,[],https://arxiv.org/abs/2208.12615v2,https://github.com/codingchild2424/MonaCoBERT,16,
1.0,RESEARCH_PAPER,RuCoLA: Russian Corpus of Linguistic Acceptability,[],https://arxiv.org/abs/2210.12814v1,https://github.com/russiannlp/rucola,50,
1.0,RESEARCH_PAPER,Generating astronomical spectra from photometry with conditional diffusion models,[],https://arxiv.org/abs/2211.05556v1,https://github.com/larsdoorenbos/generate-spectra,17,
1.0,RESEARCH_PAPER,Fully Hyperbolic Convolutional Neural Networks for Computer Vision,[],https://arxiv.org/abs/2303.15919v3,https://github.com/kschwethelm/hyperboliccv,80,
1.0,RESEARCH_PAPER,Towards Interactive and Learnable Cooperative Driving Automation: a Large Language Model-Driven Decision-Making Framework,[],https://arxiv.org/abs/2409.12812v2,https://github.com/fangshiyuu/codrivingllm,93,
1.0,RESEARCH_PAPER,Efficient Scale-Invariant Generator with Column-Row Entangled Pixel Synthesis,[],https://arxiv.org/abs/2303.14157v3,https://github.com/vinairesearch/creps,32,
1.0,RESEARCH_PAPER,Cascaded Debiasing: Studying the Cumulative Effect of Multiple Fairness-Enhancing Interventions,[],https://arxiv.org/abs/2202.03734v2,https://github.com/bhavyaghai/cascaded-debiasing,4,
1.0,RESEARCH_PAPER,Incorporating Texture Information into Dimensionality Reduction for High-Dimensional Images,[],https://arxiv.org/abs/2202.09179v2,https://github.com/biovault/spidr,5,
1.0,RESEARCH_PAPER,Bi-directional Weakly Supervised Knowledge Distillation for Whole Slide Image Classification,[],https://arxiv.org/abs/2210.03664v2,https://github.com/miccaiif/weno,68,
1.0,RESEARCH_PAPER,Longtonotes: OntoNotes with Longer Coreference Chains,[],https://arxiv.org/abs/2210.03650v1,https://github.com/kumar-shridhar/longtonotes,11,
1.0,RESEARCH_PAPER,Hate Speech and Offensive Language Detection in Bengali,[],https://arxiv.org/abs/2210.03479v1,https://github.com/hate-alert/bengali_hate,1,
1.0,RESEARCH_PAPER,Self-Supervised Visual Representation Learning with Semantic Grouping,[],https://arxiv.org/abs/2205.15288v2,https://github.com/CVMI-Lab/SlotCon,97,
1.0,RESEARCH_PAPER,Integrating Random Effects in Deep Neural Networks,[],https://arxiv.org/abs/2206.03314v3,https://github.com/gsimchoni/lmmnn,40,
1.0,RESEARCH_PAPER,MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning,[],https://arxiv.org/abs/2109.12674v3,https://github.com/metadriverse/metadrive,1240,
1.0,RESEARCH_PAPER,Incremental Non-Gaussian Inference for SLAM Using Normalizing Flows,[],https://arxiv.org/abs/2110.00876v2,https://github.com/marineroboticsgroup/nf-isam,29,
1.0,RESEARCH_PAPER,FETA: A Benchmark for Few-Sample Task Transfer in Open-Domain Dialogue,[],https://arxiv.org/abs/2205.06262v2,https://github.com/alon-albalak/tlidb,14,
1.0,RESEARCH_PAPER,Towards Few-shot Entity Recognition in Document Images: A Label-aware Sequence-to-Sequence Framework,[],https://arxiv.org/abs/2204.05819v1,https://github.com/zlwang-cs/laser-release,14,
1.0,RESEARCH_PAPER,Robustness Certification of Visual Perception Models via Camera Motion Smoothing,[],https://arxiv.org/abs/2210.04625v2,https://github.com/hanjianghu/camera-motion-smoothing,11,
1.0,RESEARCH_PAPER,SubeventWriter: Iterative Sub-event Sequence Generation with Coherence Controller,[],https://arxiv.org/abs/2210.06694v3,https://github.com/hkust-knowcomp/subeventwriter,11,
1.0,RESEARCH_PAPER,KERPLE: Kernelized Relative Positional Embedding for Length Extrapolation,[],https://arxiv.org/abs/2205.09921v2,https://github.com/chijames/kerple,20,
1.0,RESEARCH_PAPER,OneFormer: One Transformer to Rule Universal Image Segmentation,[],https://arxiv.org/abs/2211.06220v2,https://github.com/SHI-Labs/OneFormer,1735,
1.0,RESEARCH_PAPER,Quantum Approximate Optimization Algorithm Parameter Prediction Using a Convolutional Neural Network,[],https://arxiv.org/abs/2211.09513v3,https://github.com/NingyiXie/Parameter-to-Parameter-Convolutional-Neural-Network,6,
1.0,RESEARCH_PAPER,Towards A Unified Conformer Structure: from ASR to ASV Task,[],https://arxiv.org/abs/2211.07201v2,https://github.com/Snowdar/asv-subtools,636,
