schemaVersion,recordType,startupName,employeeCount,officialWebsite,sourceName,sourceURL,collectedAt
1.0,STARTUP,AgendaPro,50,https://www.agendapro.com,Y Combinator,https://www.ycombinator.com/companies/agendapro,2026-09-04T14:16:23.926797Z
1.0,STARTUP,Agentic Labs,2,https://agenticlabs.com,Y Combinator,https://www.ycombinator.com/companies/agentic-labs-2,2026-09-04T14:16:06.549016Z
1.0,STARTUP,Agentin AI,2,https://www.agentin.ai,Y Combinator,https://www.ycombinator.com/companies/agentin-ai,2026-09-04T14:16:40.908541Z
1.0,STARTUP,Agentnoon,16,https://agentnoon.com,Y Combinator,https://www.ycombinator.com/companies/agentnoon,2026-09-04T14:16:49.672832Z
1.0,STARTUP,AgileMD,19,https://agilemd.com,Y Combinator,https://www.ycombinator.com/companies/agilemd,2026-09-04T14:16:31.344359Z
1.0,STARTUP,Ahazou,27,https://ahazou.com,Y Combinator,https://www.ycombinator.com/companies/ahazou,2026-09-04T14:17:02.575121Z
1.0,STARTUP,AI.Fashion,11,https://www.ai.fashion,Y Combinator,https://www.ycombinator.com/companies/ai-fashion,2026-09-04T14:16:56.329194Z
1.0,STARTUP,AI Insurance,16,https://www.aiinsurance.io,Y Combinator,https://www.ycombinator.com/companies/ai-insurance,2026-09-04T14:17:13.700869Z
1.0,STARTUP,AI Tech Packs,2,https://aitechpacks.com,Y Combinator,https://www.ycombinator.com/companies/ai-tech-packs,2026-09-04T14:17:08.206103Z
1.0,STARTUP,Airfordable,7,http://www.airfordable.com,Y Combinator,https://www.ycombinator.com/companies/airfordable,2026-09-04T14:17:20.192334Z
1.0,STARTUP,Airmada,2,http://www.airmada.com,Y Combinator,https://www.ycombinator.com/companies/airmada,2026-09-04T14:17:26.706408Z
1.0,STARTUP,AirMyne,11,http://www.airmyne.com,Y Combinator,https://www.ycombinator.com/companies/airmyne,2026-09-04T14:17:33.021523Z
1.0,STARTUP,Airo Health,2,http://www.airohealth.com,Y Combinator,https://www.ycombinator.com/companies/airo-health,2026-09-04T14:17:37.802367Z
1.0,STARTUP,AirPair,2,http://airpair.com,Y Combinator,https://www.ycombinator.com/companies/airpair,2026-09-04T14:17:43.355225Z
1.0,STARTUP,Airshared,,http://getcycle.com,Y Combinator,https://www.ycombinator.com/companies/airshared,2026-09-04T14:17:50.093004Z
1.0,STARTUP,Airthium,18,http://www.airthium.com,Y Combinator,https://www.ycombinator.com/companies/airthium,2026-09-04T14:18:05.003393Z
1.0,STARTUP,Airware,51,http://airware.com,Y Combinator,https://www.ycombinator.com/companies/airware,2026-09-04T14:17:57.359286Z
1.0,STARTUP,AiSDR,5,https://aisdr.com/,Y Combinator,https://www.ycombinator.com/companies/aisdr,2026-09-04T14:18:59.113265Z
1.0,STARTUP,Aisle50,11,http://aisle50.com,Y Combinator,https://www.ycombinator.com/companies/aisle50,2026-09-04T14:18:10.057701Z
1.0,STARTUP,AiSupervision,13,https://www.aisupervision.com,Y Combinator,https://www.ycombinator.com/companies/aisupervision,2026-09-04T14:18:35.862850Z
1.0,STARTUP,AIVideo.com,12,https://aivideo.com,Y Combinator,https://www.ycombinator.com/companies/aivideo-com,2026-09-04T14:18:29.103619Z
1.0,STARTUP,Ajaib,300,https://www.ajaib.co.id/,Y Combinator,https://www.ycombinator.com/companies/ajaib,2026-09-04T14:18:21.520949Z
1.0,STARTUP,Akido Labs,1000,http://akidolabs.com,Y Combinator,https://www.ycombinator.com/companies/akido-labs,2026-09-04T14:18:15.992011Z
1.0,STARTUP,Akiflow,18,https://akiflow.com,Y Combinator,https://www.ycombinator.com/companies/akiflow,2026-09-04T14:18:45.590089Z
1.0,STARTUP,Aklimate,3,https://www.getaklimate.com/,Y Combinator,https://www.ycombinator.com/companies/aklimate,2026-09-04T14:19:52.340497Z
1.0,STARTUP,Akute Health,4,https://www.akutehealth.com,Y Combinator,https://www.ycombinator.com/companies/akute-health,2026-09-04T14:19:20.862655Z
1.0,STARTUP,Alai,5,https://getalai.com,Y Combinator,https://www.ycombinator.com/companies/alai,2026-09-04T14:19:05.911523Z
1.0,STARTUP,Alanda,14,https://www.alana.jobs,Y Combinator,https://www.ycombinator.com/companies/alana,2026-09-04T14:19:15.492832Z
1.0,STARTUP,Alba Orbital,10,https://www.albaorbital.com,Y Combinator,https://www.ycombinator.com/companies/alba-orbital,2026-09-04T14:19:09.986095Z
